motifstart	region	seqclass	seqname
1000	seq1	control	chr2L:-:7107418-7107551:7118884-7118923:7155486-7157695
1000	seq1	control	chr2L:+:6920703-6920861:6922730-6922826:6923783-6924400
1000	seq1	control	chr3L:-:25961359-25961540:25969229-25969627:26013542-26013568
138	seq1	control	chr3L:+:20771527-20771864:20772604-20772963:20773793-20776053
1000	seq1	control	chr3L:-:15072528-15073194:15073306-15073330:15074324-15074492
1000	seq1	control	chr3L:+:9368100-9368214:9368567-9368661:9368900-9369314
1000	seq1	control	chr4:+:560094-560300:560717-560820:564360-564479
1000	seq1	control	chrX:+:12640661-12640839:12648536-12648783:12651109-12651226
1000	seq1	control	chrX:+:15483198-15483420:15484529-15484892:15485121-15485268
1000	seq1	control	chr4:-:903336-903471:909078-909184:912186-912331
1000	seq1	control	chr2R:-:11294535-11294785:11295493-11295885:11296171-11296215
1000	seq1	control	chr3L:+:27279480-27279539:27323293-27323574:27331993-27332108
1000	seq1	control	chr2L:+:19717317-19717454:19719702-19719999:19725894-19726034
1000	seq1	control	chr2L:+:7032903-7033018:7034764-7034910:7035074-7035561
1000	seq1	control	chr3L:-:20236433-20237910:20238737-20239544:20239862-20240532
1000	seq1	control	chr2R:-:7332260-7332380:7345060-7345351:7347848-7348010
1000	seq1	control	chr2R:+:22137432-22138251:22151653-22151695:22162904-22163694
1000	seq1	control	chr3L:+:10587626-10587687:10587842-10587896:10589355-10589516
1000	seq1	control	chr3L:-:1499042-1499337:1499771-1499879:1500244-1500388
1000	seq1	control	chrX:+:16278356-16278615:16279908-16279991:16283669-16284238
1000	seq1	control	chr3R:-:14307097-14307970:14308034-14308208:14308275-14308589
1000	seq1	control	chr3L:-:4671825-4671961:4673172-4673392:4674955-4675229
1000	seq1	control	chr3L:-:12845733-12845853:12847049-12847156:12848369-12849095
1000	seq1	control	chrX:-:811026-811368:811593-811689:818405-818615
1000	seq1	control	chr2R:+:17352128-17352305:17354178-17354412:17361979-17365386
1000	seq1	control	chr2R:+:10295868-10296047:10300489-10300588:10304623-10304930
1000	seq1	control	chr2L:-:19879-20015:20830-20973:21065-21376
1000	seq1	control	chrX:-:10254002-10254307:10254719-10255172:10255492-10255590
1000	seq1	control	chr2L:+:10978879-10978981:10979632-10979713:10980444-10981112
1000	seq1	control	chr2R:-:6927389-6928836:6929072-6929273:6930248-6930370
1000	seq1	control	chr3R:-:31959034-31959127:31969755-31969785:31972501-31972553
1000	seq1	control	chrX:+:22457613-22458260:22462713-22463272:22463691-22465522
1000	seq1	control	chr2L:+:20824433-20824493:20825271-20825512:20825667-20826087
1000	seq1	control	chrX:+:17845489-17845758:17846682-17846792:17846930-17847419
1000	seq1	control	chr2R:+:22930192-22930319:22930385-22931280:22931514-22932044
1000	seq1	control	chr3L:+:8047506-8047600:8048069-8048443:8049868-8050333
1000	seq1	control	chr3R:+:17651321-17651381:17660646-17660668:17668482-17668740
1000	seq1	control	chr3L:-:7926024-7926837:7927487-7927579:7927759-7927820
1000	seq1	control	chr2L:-:4532242-4532386:4548004-4548802:4552242-4552335
1000	seq1	control	chr2R:+:21205360-21205541:21206876-21207512:21208469-21209889
1000	seq1	control	chr2L:+:2996501-2997059:2997491-2997530:2997790-2998726
81	seq1	control	chrX:+:9022017-9022239:9023274-9023326:9024073-9024137
82	seq1	control	chrX:+:9022017-9022239:9023274-9023326:9024073-9024137
1000	seq1	control	chr2L:+:19717317-19717454:19719708-19719999:19725894-19726034
1000	seq1	control	chr2R:-:7332260-7332380:7342103-7342391:7347848-7348010
1000	seq1	control	chr3L:-:6754016-6754493:6754744-6754807:6755072-6755123
1000	seq1	control	chr2R:-:7332260-7332380:7345875-7346166:7347848-7348010
1000	seq1	control	chr2R:+:10061249-10061364:10061617-10061896:10062099-10062191
1000	seq1	control	chr3R:-:6391304-6391988:6392879-6392959:6405741-6405895
1000	seq1	control	chr3R:-:5599115-5599364:5600037-5600167:5600287-5600571
1000	seq1	control	chr3L:+:12851308-12851722:12852426-12852528:12852615-12852716
1000	seq1	control	chr2R:-:15946932-15947606:15948163-15948710:15948807-15948985
1000	seq1	control	chr3L:+:14201621-14201666:14212193-14212232:14213088-14213203
1000	seq1	control	chr3L:+:15583637-15583881:15583996-15584095:15584286-15584439
1000	seq1	control	chr3R:+:21524187-21524515:21525084-21525418:21525526-21525763
1000	seq1	control	chr2R:+:15221898-15221980:15222043-15222425:15222496-15222982
1000	seq1	control	chr3R:+:7193592-7193688:7194197-7194458:7195615-7195895
1000	seq1	control	chr2L:+:1884621-1885318:1909668-1909992:1910066-1910149
1000	seq1	control	chr2L:+:13274309-13274376:13274642-13274850:13276246-13276291
1000	seq1	control	chr3L:+:16716230-16716837:16717606-16717840:16718021-16721016
1000	seq1	control	chrX:+:22457613-22458260:22463538-22465558:22466164-22466375
1000	seq1	control	chr2R:-:18130969-18131045:18131135-18131189:18131281-18131734
1000	seq1	control	chrX:-:20476327-20476811:20477112-20477187:20477265-20477567
1000	seq1	control	chrX:-:16755836-16757115:16758513-16758588:16760330-16760379
1000	seq1	control	chr2L:-:18776148-18776374:18776471-18776603:18779804-18780331
1000	seq1	control	chrX:-:15757855-15758317:15760124-15760194:15760251-15760649
1000	seq1	control	chrX:+:22462713-22463272:22463691-22465522:22466164-22466375
1000	seq1	control	chr3R:-:18768871-18769116:18792050-18792120:18795010-18795169
1000	seq1	control	chr2R:-:7332260-7332380:7342582-7342881:7347848-7348010
1000	seq1	control	chr4:-:189997-190061:191308-191386:193343-193489
61	seq1	control	chr2R:+:10048352-10048486:10048998-10049221:10049407-10049644
62	seq1	control	chr2R:+:10048352-10048486:10048998-10049221:10049407-10049644
65	seq1	control	chr2R:+:10048352-10048486:10048998-10049221:10049407-10049644
1000	seq1	control	chr2R:-:10756529-10757544:10759862-10759915:10782319-10782869
1000	seq1	control	chr2R:-:6944940-6945117:6945173-6945427:6962879-6963095
1000	seq1	control	chr3L:-:15072528-15073194:15074324-15074492:15074683-15075847
1000	seq1	control	chr3R:-:10008695-10008854:10009303-10009649:10009736-10014826
1000	seq1	control	chr3L:-:15075919-15076045:15080945-15081161:15081332-15081473
1000	seq1	control	chr2R:+:21205745-21205814:21206876-21207512:21208469-21209889
1000	seq1	control	chr2L:-:4555205-4562483:4563110-4563467:4563679-4564189
1000	seq1	control	chr2L:-:17052-17212:19879-20015:20830-20973
1000	seq1	control	chr2R:-:15885344-15885488:15885584-15885656:15886098-15886170
1000	seq1	control	chr2L:-:19528087-19528369:19528770-19528996:19530089-19530305
1000	seq1	control	chr2R:-:7332260-7332380:7334933-7335218:7347848-7348010
1000	seq1	control	chr3L:-:335928-336692:338486-338626:338846-339016
1000	seq1	control	chr2L:-:10822967-10823109:10823760-10823852:10825673-10825836
1000	seq1	control	chr2R:+:10569221-10569378:10570073-10570142:10611679-10611818
1000	seq1	control	chr3R:+:9631670-9631854:9632106-9632300:9632376-9633187
1000	seq1	control	chrX:+:11695136-11695279:11695823-11696145:11696402-11696540
1000	seq1	control	chrX:+:15836114-15836208:15836281-15836397:15836524-15836674
1000	seq1	control	chrX:+:21374311-21374459:21374657-21374740:21376119-21376666
1000	seq1	control	chr2R:+:14507256-14507349:14507412-14507481:14507539-14508312
1000	seq1	control	chr2R:+:14507256-14507349:14507415-14507481:14507539-14508312
1000	seq1	control	chr2R:-:9865123-9865227:9865423-9865482:9870296-9870367
1000	seq1	control	chr3R:+:5531201-5531343:5531413-5531440:5531659-5532306
1000	seq1	control	chr3L:+:10771924-10772363:10772439-10772552:10772787-10773229
1000	seq1	control	chr3L:-:236138-236427:236862-236906:239054-239185
1000	seq1	control	chr4:-:188577-189248:191308-191386:193343-193489
1000	seq1	control	chr2R:+:8954733-8954851:8955712-8955858:8959106-8959334
1000	seq1	control	chr2R:-:6928508-6928836:6929822-6930098:6930248-6930370
1000	seq1	control	chrX:-:10519347-10519777:10544385-10544504:10546628-10546754
1000	seq1	control	chrX:+:17423590-17423856:17426095-17426333:17426599-17426917
1000	seq1	control	chr3L:-:7818068-7818223:7819987-7820029:7867240-7867369
1000	seq1	control	chr3R:-:25701524-25701661:25705930-25706035:25706286-25706485
170	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
171	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
172	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
176	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
179	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
180	seq1	control	chr3R:+:22667979-22668042:22675947-22676198:22676908-22677463
1000	seq1	control	chr2R:-:12673099-12673339:12673898-12673928:12674990-12675418
1000	seq1	control	chr2R:-:13871293-13871338:13871665-13871725:13871978-13872153
1000	seq1	control	chr2R:-:16289745-16290746:16290915-16291055:16291123-16291222
1000	seq1	control	chrX:-:2493550-2493676:2494403-2494637:2501626-2501737
1000	seq1	control	chr3L:+:10588659-10588731:10589355-10589516:10590326-10590390
1000	seq1	control	chr2R:-:24671293-24672306:24672550-24672851:24675062-24675141
1000	seq1	control	chr3R:+:9436834-9437118:9444010-9444076:9445043-9445187
1000	seq1	control	chrX:-:3514867-3514987:3519824-3519953:3520041-3520133
1000	seq1	control	chrX:-:2027934-2028027:2029840-2029926:2030214-2030368
1000	seq1	control	chr2L:+:10989655-10989874:10990095-10990783:10991058-10991885
1000	seq1	control	chrX:+:3772639-3773034:3775814-3777360:3781654-3783559
1000	seq1	control	chr4:+:210557-210680:211589-211794:212627-212729
1000	seq1	control	chr2R:-:10148081-10148152:10149347-10149440:10150855-10151052
1000	seq1	control	chr2R:+:8954733-8954851:8954958-8955167:8959106-8959334
1000	seq1	control	chr2L:+:21275723-21275806:21277277-21278429:21281131-21281337
1000	seq1	control	chrX:-:16003714-16004086:16004327-16004393:16005319-16005476
1000	seq1	control	chr2L:-:2310661-2310870:2323350-2323449:2357077-2357356
1000	seq1	control	chr3R:-:30386318-30386596:30386717-30386828:30386883-30387409
1000	seq1	control	chr2R:-:24671293-24672306:24672550-24673316:24675062-24675141
1000	seq1	control	chrX:+:2659147-2661093:2669633-2669753:2669912-2670103
1000	seq1	control	chr3R:+:9439345-9439705:9440680-9441665:9445043-9445187
1000	seq1	control	chrX:+:10222325-10222586:10222897-10223455:10224313-10224505
1000	seq1	control	chr3L:+:3543579-3543707:3545798-3546131:3552786-3552864
1000	seq1	control	chr4:+:447100-447235:449923-449968:450241-450316
1000	seq1	control	chr3R:+:25564079-25564127:25574883-25574922:25595073-25595602
1000	seq1	control	chr3L:-:2499690-2500462:2501069-2501141:2502594-2502723
1000	seq1	control	chr3R:-:9080557-9081022:9141319-9141331:9157117-9157950
1000	seq1	control	chrX:+:6577036-6577112:6577943-6583343:6585695-6585785
1000	seq1	control	chr3L:+:14228849-14228953:14229827-14230106:14230175-14230310
1000	seq1	control	chr2L:-:7230888-7231126:7231812-7231980:7234526-7234997
1000	seq1	control	chr2R:+:22930192-22930319:22930388-22931280:22931514-22932044
1000	seq1	control	chr2R:+:17352128-17352305:17359305-17359557:17361979-17362097
1000	seq1	control	chrX:-:271487-271613:271801-271875:273182-273392
1000	seq1	control	chr2R:-:14149233-14149818:14149887-14149953:14150035-14150095
1000	seq1	control	chrX:+:6661646-6661801:6662239-6662341:6664999-6665078
1000	seq1	control	chr2L:+:11278393-11278485:11278574-11278673:11278754-11279847
1000	seq1	control	chr4:+:1255841-1255998:1261951-1262093:1264655-1264965
1000	seq1	control	chr2L:+:1884621-1885318:1910066-1910149:1932055-1932147
1000	seq1	control	chr2R:-:7332260-7332380:7338249-7338537:7347848-7348010
1000	seq1	control	chr2R:+:7626490-7627172:7634215-7634314:7634758-7635000
1000	seq1	control	chr3R:-:23920006-23920846:23921517-23921709:23922895-23922973
1000	seq1	control	chrX:-:7283940-7284758:7285360-7285784:7285913-7286195
1000	seq1	control	chr2R:-:11587096-11587138:11587537-11587582:11587645-11587711
1000	seq1	control	chrX:-:6788460-6789051:6789711-6791161:6803106-6803593
1000	seq1	control	chrX:+:2042216-2042352:2051794-2051934:2053816-2054440
1000	seq1	control	chr2R:+:8954733-8954851:8957028-8957156:8959106-8959334
1000	seq1	control	chrX:-:2027934-2028027:2029774-2029926:2030214-2030368
11	seq1	control	chr3R:+:25519260-25519729:25564079-25564127:25574883-25574922
1000	seq1	control	chr2R:+:5263947-5263995:5294621-5294712:5294796-5295063
1000	seq1	control	chr2R:+:15322500-15322712:15323123-15323141:15323448-15323565
1000	seq1	control	chrX:+:17721422-17721615:17736197-17736269:17746570-17746691
1000	seq1	control	chr2R:-:7332260-7332380:7337493-7337781:7347848-7348010
79	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
80	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
97	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
98	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
101	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
105	seq1	control	chr3R:+:5575778-5575925:5576174-5576413:5577035-5577259
1000	seq1	control	chr3R:+:10388257-10389437:10396236-10396820:10397362-10397684
1000	seq1	control	chr2R:-:7332260-7332380:7347006-7347294:7347848-7348010
1000	seq1	control	chr2L:-:4190558-4190824:4192632-4192968:4193309-4193481
1000	seq1	control	chr3R:+:24552485-24552656:24553994-24554080:24554355-24554404
1000	seq1	control	chr3L:-:7818068-7818223:7819987-7820029:7853182-7855548
1000	seq1	control	chr3R:+:28903477-28903575:28905638-28907337:28919491-28919567
1000	seq1	control	chr2R:+:24915280-24915462:24915730-24915831:24917319-24917481
1000	seq1	control	chr4:+:234264-234345:236394-236475:237268-237559
1000	seq1	control	chr2R:-:4727793-4727953:4728432-4728551:4728778-4729017
171	seq1	control	chr3R:-:20540522-20541553:20541679-20542092:20552080-20552311
172	seq1	control	chr3R:-:20540522-20541553:20541679-20542092:20552080-20552311
1000	seq1	control	chrX:-:18407796-18407885:18408517-18408859:18409049-18409178
1000	seq1	control	chr3R:-:30881791-30882927:30882982-30883071:30883127-30883503
1000	seq1	control	chrX:+:11579064-11579124:11579351-11579528:11579669-11580084
1000	seq1	control	chr3R:+:21524187-21524515:21525084-21525300:21525526-21525763
1000	seq1	control	chrX:+:16278356-16278547:16279705-16279828:16279908-16279991
1000	seq1	control	chr3R:-:31959034-31959127:31969755-31969785:31975447-31975965
1000	seq1	control	chr2R:-:2522572-2522730:2562626-2562805:2565118-2565385
1000	seq1	control	chr3R:-:5305903-5305970:5307433-5307777:5307934-5308099
1000	seq1	control	chr3L:-:12200711-12201089:12201373-12201496:12203718-12203935
1000	seq1	control	chrX:-:16003714-16004086:16004327-16004444:16005319-16005812
1000	seq1	control	chr3L:-:4612858-4612889:4625209-4625328:4625936-4626132
1000	seq1	control	chr3L:-:9664076-9664244:9665555-9665699:9667701-9667884
1000	seq1	control	chr3L:+:12851308-12851722:12852426-12852521:12852615-12852716
1000	seq1	control	chrX:+:12648536-12648783:12651109-12651226:12651294-12651417
1000	seq1	control	chr3R:+:20561146-20561411:20566428-20566609:20570601-20570649
1000	seq1	control	chr3L:-:6754016-6754493:6754744-6754807:6755419-6756158
1000	seq1	control	chr2R:-:10148081-10148152:10148632-10149094:10149347-10149440
1000	seq1	control	chrX:+:16278356-16278547:16279908-16279991:16283669-16284238
1000	seq1	control	chr3R:+:18011096-18011713:18012095-18012150:18013147-18018892
1000	seq1	control	chr3L:-:4096903-4096978:4097205-4097334:4097506-4097804
1000	seq1	control	chr2L:-:20969164-20969523:20993232-20993377:21051773-21052164
1000	seq1	control	chr3L:-:4612858-4612889:4625209-4625393:4625936-4626132
1000	seq1	control	chr2L:-:20644663-20645361:20645416-20645451:20645668-20645791
1000	seq1	control	chr2R:-:9915501-9916912:9917456-9917531:9917937-9918353
1000	seq1	control	chr2L:+:5952444-5952627:5952988-5953057:5953415-5954477
1000	seq1	control	chr3R:+:31361118-31362358:31366842-31367522:31370235-31371748
1000	seq1	control	chr3L:-:20236433-20237910:20238737-20239610:20239862-20240532
1000	seq1	control	chr3R:-:23920006-23920846:23921517-23921780:23922895-23922973
1000	seq1	control	chrX:-:17141693-17141761:17142266-17142707:17142801-17142990
1000	seq1	control	chr2R:-:12585254-12586072:12592328-12592445:12592728-12592917
1000	seq1	control	chr3R:-:6362837-6363230:6364161-6364725:6365003-6365154
1000	seq1	control	chrX:-:11883187-11883621:11884322-11884583:11884797-11885104
1000	seq1	control	chrX:+:6577036-6577112:6577943-6583178:6585692-6585785
1000	seq1	control	chr3R:+:21524578-21524649:21525084-21525300:21525526-21525763
1000	seq1	control	chr3R:+:4235216-4235324:4236087-4236148:4237624-4237817
1000	seq1	control	chr2L:+:6329547-6329697:6330122-6330563:6330770-6330886
1000	seq1	control	chrX:-:2494403-2494637:2495040-2495238:2501626-2501737
1000	seq1	control	chr3L:-:9113045-9113487:9123615-9123776:9125166-9125313
1000	seq1	control	chr3R:+:31389945-31390198:31390297-31390359:31390588-31391893
1000	seq1	control	chr2R:-:15292772-15292969:15293426-15293561:15306877-15307154
1000	seq1	control	chrX:+:13801678-13801773:13801901-13802008:13802066-13802171
1000	seq1	control	chr3L:-:25961359-25961540:25977966-25978150:26013542-26013721
1000	seq1	control	chr3L:+:23746189-23746544:23747758-23747812:23747872-23748060
1000	seq1	control	chr2R:-:17522852-17522960:17523499-17523571:17523823-17523898
1000	seq1	control	chr2L:-:7234526-7234997:7236144-7236351:7237686-7237790
1000	seq1	control	chr3L:-:7932997-7933234:7933770-7933791:7935377-7936120
1000	seq1	control	chr3L:+:20453292-20453516:20454151-20454212:20454394-20454457
1000	seq1	control	chrX:-:2492987-2493215:2495040-2495238:2501626-2501737
1000	seq1	control	chr2L:-:14222016-14222081:14229458-14229536:14233893-14234108
1000	seq1	control	chr2R:-:17521831-17521900:17523499-17523571:17524083-17524282
150	seq1	control	chr2L:+:20343742-20343947:20344654-20345458:20345524-20345670
1000	seq1	control	chr3R:-:24511072-24511225:24511483-24511659:24513694-24513822
1000	seq2	control	chr3L:+:12757511-12758422:12758633-12758764:12758901-12759042
1000	seq2	control	chr3R:+:29133860-29133961:29134556-29134598:29135048-29135175
1000	seq2	control	chr3L:-:9893187-9893464:9893517-9893654:9893708-9894282
1000	seq2	control	chr2R:+:24915280-24915462:24916771-24916890:24917319-24917577
1000	seq2	control	chr2R:-:17482618-17482725:17482790-17482839:17482905-17483433
1000	seq2	control	chr2R:-:10146228-10146443:10146707-10146846:10147058-10147412
1000	seq2	control	chr3R:+:20798314-20798409:20802289-20802551:20805946-20806223
1000	seq2	control	chr4:-:1038358-1038437:1040012-1040078:1045155-1045248
1000	seq2	control	chr4:-:188577-189248:189997-190061:193672-193829
1000	seq2	control	chr2L:-:4190558-4190824:4192632-4192968:4193324-4193481
1000	seq2	control	chr3R:-:4801212-4801991:4810671-4810787:4811982-4812096
1000	seq2	control	chr2R:-:7332260-7332380:7346268-7346556:7347848-7348010
1000	seq2	control	chr2R:-:9852547-9853205:9853682-9853730:9854510-9856020
1000	seq2	control	chrX:+:1637283-1637334:1654391-1655990:1658787-1664869
1000	seq2	control	chr3R:-:6391304-6392742:6392879-6392959:6405741-6405895
1000	seq2	control	chr3L:+:23555924-23556048:23568546-23569958:23583180-23583364
1000	seq2	control	chr3R:+:19592822-19593123:19593795-19594098:19594368-19594398
1000	seq2	control	chr2R:+:10278735-10284801:10293340-10293439:10294611-10294765
1000	seq2	control	chr2L:-:10256318-10256506:10256909-10257122:10257777-10257993
1000	seq2	control	chr4:+:1220259-1220688:1221261-1221282:1221490-1221650
1000	seq2	control	chr2L:-:21578730-21579637:21581616-21581816:21586399-21587141
1000	seq2	control	chrX:+:1042259-1042432:1042729-1042885:1043212-1043421
1000	seq2	control	chr3L:+:146771-147082:147729-147883:148461-148645
1000	seq2	control	chr2L:+:21128739-21129082:21131230-21131463:21132033-21134255
1000	seq2	control	chr4:+:467750-467994:469156-469330:471013-471476
1000	seq2	control	chr3L:+:16716230-16716837:16717606-16717840:16718246-16721016
1000	seq2	control	chrX:-:12730933-12732400:12741448-12741641:12742318-12742444
1000	seq2	control	chr4:-:1037645-1037740:1043467-1043521:1045155-1045248
1000	seq2	control	chr4:-:954920-955050:958005-958123:958313-958392
1000	seq2	control	chr3L:-:12008878-12012231:12012427-12012730:12012930-12013408
1000	seq2	control	chr3L:+:23262707-23262823:23263798-23263967:23264033-23264170
1000	seq2	control	chrX:-:479863-481169:481232-481562:481601-481826
1000	seq2	control	chr3L:+:12852231-12852277:12852426-12852521:12852615-12852716
1000	seq2	control	chr2R:+:3121990-3122084:3182391-3182519:3190635-3190804
1000	seq2	control	chrX:-:12572771-12573409:12573724-12573859:12581571-12583193
1000	seq2	control	chrX:+:12631604-12631813:12633917-12633957:12635731-12636283
1000	seq2	control	chr2L:-:10256318-10256506:10256909-10257122:10257394-10257716
1000	seq2	control	chrX:+:22457613-22458260:22463691-22465522:22466164-22466375
1000	seq2	control	chr2R:-:13864236-13865495:13865756-13865905:13866448-13866632
1000	seq2	control	chr3R:+:25516117-25516349:25564079-25564127:25574883-25574922
1000	seq2	control	chr3L:+:12852231-12852277:12852426-12852528:12852615-12852716
1000	seq2	control	chr2L:-:5770950-5771209:5787964-5787984:5799117-5799272
1000	seq2	control	chr3L:+:14763052-14763114:14763203-14763262:14763753-14767703
1000	seq2	control	chrX:+:16359142-16359986:16360049-16360158:16360222-16360358
1000	seq2	control	chr2R:-:9921609-9922003:9934318-9934377:9940744-9940953
1000	seq2	control	chrX:+:22498306-22498619:22500994-22501521:22501671-22502305
1000	seq2	control	chr3L:-:12219977-12221282:12240652-12240674:12264620-12264910
1000	seq2	control	chr3L:+:22279613-22279936:22280158-22280317:22281678-22281783
1000	seq2	control	chr3R:+:29894980-29895423:29896697-29897229:29897299-29897645
1000	seq2	control	chr3R:+:20966397-20966613:20968391-20968486:20973172-20973347
1000	seq2	control	chr4:+:665950-666932:668419-668574:669129-669884
1000	seq2	control	chr2L:+:9521209-9521440:9523162-9523343:9533513-9533751
1000	seq2	control	chrX:-:7091673-7092170:7096997-7097059:7098000-7098051
1000	seq2	control	chr3R:+:7196293-7196393:7197569-7197659:7198327-7200941
1000	seq2	control	chr2L:+:20647532-20647788:20647963-20648013:20648188-20648479
1000	seq2	control	chr2R:-:18288126-18288388:18288559-18288727:18289534-18289850
1000	seq2	control	chr3R:+:19013173-19013449:19018022-19018483:19020928-19022411
1000	seq2	control	chr2R:-:21394877-21395045:21398064-21398583:21399174-21399313
1000	seq2	control	chr2R:-:7332260-7332380:7342963-7343248:7347848-7348010
1000	seq2	control	chr3R:+:9432028-9432839:9444010-9444076:9445043-9445187
1000	seq2	control	chr2L:+:8201556-8201724:8201810-8202930:8204491-8205298
1000	seq2	control	chr2R:-:5217344-5217435:5241895-5242062:5245951-5246137
1000	seq2	control	chr3L:-:451126-451771:452837-453488:454108-454405
37	seq2	control	chrX:-:2494403-2494637:2499210-2499678:2501626-2501737
1000	seq2	control	chrX:+:9040037-9040316:9049249-9050935:9051036-9051122
1000	seq2	control	chrX:-:16004327-16004393:16005319-16005476:16005621-16005812
1000	seq2	control	chr2R:-:13176552-13179013:13180989-13183234:13184776-13185175
1000	seq2	control	chr2L:+:21053284-21053361:21053457-21053644:21054993-21055744
1000	seq2	control	chr4:-:474452-474768:474959-475104:477291-478083
1000	seq2	control	chr3L:-:5170186-5170440:5218949-5219285:5276154-5276363
1000	seq2	control	chr2L:+:10989655-10989874:10989973-10990783:10991058-10991885
1000	seq2	control	chr2R:+:5144732-5144858:5148200-5149156:5152788-5154194
1000	seq2	control	chr3R:+:24620378-24621113:24622275-24622416:24622921-24623899
1000	seq2	control	chr2L:+:7034198-7034273:7034764-7034912:7035406-7035561
1000	seq2	control	chr3R:-:9695586-9695653:9696421-9696507:9696599-9696739
1000	seq2	control	chrX:-:16003714-16004086:16004327-16004444:16005621-16005812
1000	seq2	control	chr2R:-:9934318-9934377:9940744-9940953:9958123-9958858
1000	seq2	control	chr3L:+:14763052-14763114:14763203-14763434:14763753-14767703
1000	seq2	control	chrX:-:9095394-9095975:9096765-9096825:9097354-9097513
1000	seq2	control	chr3R:+:5475462-5475800:5476305-5476318:5476540-5477547
1000	seq2	control	chr2L:+:5155588-5155849:5158454-5165399:5187606-5187717
1000	seq2	control	chr3L:-:20927708-20927847:20935412-20935515:20936665-20936714
1000	seq2	control	chr3L:+:19966228-19966456:19966733-19966861:19969081-19969240
1000	seq2	control	chrX:+:22462399-22463272:22463538-22465522:22466164-22466375
1000	seq2	control	chrX:-:10813248-10814093:10814620-10814771:10815601-10815635
1000	seq2	control	chr3R:+:8356977-8357095:8357336-8357456:8358470-8358590
1000	seq2	control	chrX:-:10798618-10798993:10799750-10799924:10813248-10814093
1000	seq2	control	chr2R:+:21205360-21205541:21205745-21205814:21206876-21207512
1000	seq2	control	chr3R:-:14274191-14275368:14276305-14277542:14286208-14286903
1000	seq2	control	chr3L:-:7898722-7898854:7900079-7901453:7901614-7901864
1000	seq2	control	chr3R:+:5707183-5707941:5708020-5708182:5708498-5709386
1000	seq2	control	chr3L:-:20236433-20237910:20238737-20239613:20239862-20240532
1000	seq2	control	chr2L:+:8174535-8174698:8175994-8176051:8176572-8176806
1000	seq2	control	chr3L:+:21212781-21212957:21213128-21213491:21213843-21214097
1000	seq2	control	chr3L:-:18459935-18460069:18460223-18460346:18460868-18461024
1000	seq2	control	chr2L:-:147994-148037:148091-148173:148337-148825
1000	seq2	control	chr3L:-:1500244-1500388:1501350-1501406:1501798-1501892
1000	seq2	control	chr2L:-:21743838-21743971:21746151-21747332:21756553-21756627
1000	seq2	control	chr3R:+:20966397-20966613:20966804-20966899:20973172-20973347
1000	seq2	control	chr4:+:210557-210680:211853-211982:212627-212729
1000	seq2	control	chr2L:+:20343742-20343947:20345172-20345259:20345524-20345670
1000	seq2	control	chr2R:+:6242003-6242100:6242621-6242752:6249411-6250018
1000	seq2	control	chrX:-:8099350-8099616:8101086-8101758:8101945-8102095
1000	seq2	control	chr2L:+:17384699-17384839:17385443-17385495:17385560-17385895
1000	seq2	control	chr2L:-:10512934-10513564:10516815-10516893:10516994-10517218
1000	seq2	control	chr3L:+:19296350-19296559:19296612-19296843:19297045-19297212
1000	seq2	control	chrX:-:12523517-12524226:12529487-12529622:12546661-12546982
1000	seq2	control	chr2R:-:7332260-7332380:7336530-7336818:7347848-7348010
1000	seq2	control	chr2R:-:16225106-16225325:16226567-16226804:16230077-16230402
1000	seq2	control	chrX:-:13220033-13220146:13223825-13223852:13224983-13225111
1000	seq2	control	chr2R:-:6934805-6935108:6935214-6935295:6935422-6935680
1000	seq2	control	chr3R:-:30386717-30386828:30387102-30387111:30387463-30387619
1000	seq2	control	chr2R:+:15221727-15221823:15221898-15221980:15222043-15222425
1000	seq2	control	chrX:-:1019794-1020568:1020891-1021594:1026513-1026700
1000	seq2	control	chrX:+:6585847-6585950:6586956-6587104:6588066-6588218
1000	seq2	control	chr3R:-:23611892-23612136:23615127-23615206:23622370-23622649
1000	seq2	control	chr3R:+:18010227-18010574:18011096-18011713:18012095-18012150
54	seq2	control	chrX:+:13315021-13315273:13315367-13315392:13318414-13319047
1000	seq2	control	chr2R:-:13179681-13180110:13180989-13183234:13184776-13185175
1000	seq2	control	chr3R:-:8018207-8021949:8022456-8022489:8022617-8022891
1000	seq2	control	chr3L:+:12851308-12851722:12852231-12852277:12852615-12852716
26	seq2	control	chr2L:+:12695032-12695162:12695304-12695523:12696266-12696378
1000	seq2	control	chr2R:+:22914178-22914348:22914519-22914850:22915444-22916719
1000	seq2	control	chr2R:+:8174164-8174831:8186904-8186982:8206626-8206740
